transcript,emotion
"I am feeling extremely happy, calm, and peaceful today.",Happy
"I feel very energetic, optimistic, and joyful about life.",Happy
"I feel deeply sad, lonely, and hopeless about the future.",Sad
I am overwhelmed with sorrow and feel emotionally drained.,Sad
"I feel intense fear, panic, and anxiety in my chest.",Fear
I am terrified and feel constant sense of impending danger.,Fear
"I am furious, agitated, and angry at everything around me.",Angry
I feel disgusted and repulsed by the current situation.,Disgust
I am surprised and shocked by the unexpected results.,Surprise
I am feeling okay and going about my normal daily routine.,Neutral
